Id,Bound
8000,1
8001,1
8002,0
8003,1
8004,0
8005,1
8006,1
8007,0
8008,0
8009,1
8010,0
8011,0
8012,1
8013,0
8014,1
8015,1
8016,0
8017,0
8018,0
8019,1
8020,1
8021,0
8022,1
8023,1
8024,0
8025,1
8026,1
8027,1
8028,1
8029,1
8030,0
8031,0
8032,1
8033,1
8034,0
8035,1
8036,0
8037,0
8038,1
8039,1
8040,1
8041,0
8042,1
8043,1
8044,1
8045,1
8046,1
8047,1
8048,1
8049,0
8050,0
8051,0
8052,0
8053,0
8054,1
8055,1
8056,1
8057,0
8058,0
8059,0
8060,1
8061,1
8062,1
8063,1
8064,1
8065,1
8066,0
8067,0
8068,1
8069,1
8070,0
8071,1
8072,0
8073,0
8074,0
8075,0
8076,1
8077,0
8078,0
8079,1
8080,1
8081,0
8082,0
8083,1
8084,1
8085,1
8086,0
8087,0
8088,0
8089,1
8090,0
8091,1
8092,1
8093,1
8094,0
8095,0
8096,0
8097,1
8098,0
8099,1
8100,1
8101,0
8102,1
8103,1
8104,0
8105,1
8106,1
8107,1
8108,1
8109,0
8110,1
8111,1
8112,1
8113,1
8114,0
8115,0
8116,1
8117,1
8118,1
8119,0
8120,0
8121,1
8122,1
8123,0
8124,1
8125,1
8126,0
8127,1
8128,1
8129,1
8130,1
8131,0
8132,0
8133,0
8134,0
8135,0
8136,0
8137,0
8138,1
8139,1
8140,1
8141,0
8142,0
8143,0
8144,0
8145,1
8146,0
8147,0
8148,0
8149,0
8150,0
8151,0
8152,1
8153,1
8154,0
8155,1
8156,1
8157,0
8158,0
8159,0
8160,1
8161,1
8162,0
8163,1
8164,0
8165,1
8166,0
8167,1
8168,0
8169,1
8170,1
8171,1
8172,1
8173,0
8174,1
8175,0
8176,0
8177,1
8178,0
8179,0
8180,1
8181,1
8182,0
8183,1
8184,0
8185,1
8186,1
8187,0
8188,1
8189,1
8190,1
8191,1
8192,0
8193,1
8194,0
8195,0
8196,0
8197,1
8198,1
8199,0
8200,0
8201,1
8202,0
8203,0
8204,0
8205,0
8206,1
8207,1
8208,1
8209,0
8210,0
8211,1
8212,0
8213,1
8214,1
8215,1
8216,1
8217,1
8218,1
8219,1
8220,0
8221,1
8222,1
8223,1
8224,0
8225,0
8226,1
8227,1
8228,0
8229,1
8230,0
8231,0
8232,1
8233,1
8234,0
8235,0
8236,0
8237,0
8238,0
8239,0
8240,1
8241,0
8242,0
8243,0
8244,1
8245,0
8246,1
8247,0
8248,1
8249,0
8250,1
8251,1
8252,0
8253,1
8254,1
8255,0
8256,0
8257,1
8258,0
8259,0
8260,0
8261,0
8262,0
8263,0
8264,0
8265,0
8266,1
8267,0
8268,1
8269,0
8270,1
8271,1
8272,1
8273,0
8274,0
8275,1
8276,1
8277,0
8278,1
8279,1
8280,0
8281,1
8282,1
8283,0
8284,0
8285,0
8286,0
8287,1
8288,0
8289,1
8290,0
8291,1
8292,0
8293,0
8294,0
8295,1
8296,0
8297,1
8298,0
8299,0
8300,0
8301,1
8302,0
8303,1
8304,0
8305,0
8306,0
8307,1
8308,0
8309,1
8310,1
8311,1
8312,1
8313,0
8314,0
8315,0
8316,1
8317,1
8318,0
8319,1
8320,1
8321,0
8322,1
8323,1
8324,1
8325,0
8326,1
8327,0
8328,1
8329,1
8330,1
8331,0
8332,1
8333,0
8334,0
8335,1
8336,1
8337,1
8338,1
8339,0
8340,0
8341,1
8342,0
8343,1
8344,0
8345,1
8346,0
8347,0
8348,1
8349,0
8350,1
8351,1
